,CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
808,808,SHA-256,TRUE,PoW/PoS,0,0
42,42 Coin,Scrypt,TRUE,PoW/PoS,41.99995383,42
BIT16,16BitCoin,NIST5,TRUE,PoW/PoS,0,16000000
7,007 coin,Scrypt,TRUE,PoW,,989800
404,404Coin,Scrypt,TRUE,PoW/PoS,1055184902,532000000
1337,EliteCoin,X13,TRUE,PoW/PoS,29279424623,3.14E+11
2015,2015 coin,X11,TRUE,PoW/PoS,,0
CHAO,23 Skidoo,SHA-256D,TRUE,PoW,,23
2BACCO,2BACCO Coin,Scrypt,TRUE,PoW/PoS,,81454545
32BIT,32Bitcoin,X11,TRUE,PoW/PoS,,355000
ACOIN,ACoin,SHA-256,TRUE,PoW,0,1600000
365,365Coin,X11,TRUE,PoW/PoS,,2300000000
1CR,1Credit,Scrypt,TRUE,PoW,88213,92000000000
AAC,Acute Angle Cloud,ECC 256K1,TRUE,DPOS,1000000000,1000000000
8BIT,8BIT Coin,Scrypt,TRUE,PoW/PoS,1467841,0
AEON,AEON,CryptoNight-Lite,TRUE,PoW,0,18400000
AERO,Aero Coin,X13,TRUE,PoS,0,7000000
AM,AeroMe,X13,TRUE,PoW/PoS,0,12000000
ABJ,Abjcoin,Scrypt,TRUE,PoW/PoS,9880502.372,30000000
ABS,Absolute Coin,Lyra2REv2,TRUE,PoW/PoS,13332617.94,52500000
ABY,ArtByte,Scrypt,TRUE,PoW,792537250,1000000000
ACES,AcesCoin,X13,TRUE,PoS,,100000000
ALTCOM,AltCommunity Coin,SkunkHash,TRUE,PoW/PoS,0,5000000
AEC,AcesCoin,X11,TRUE,PoS,,98000000
ANTI,Anti Bitcoin,SHA-256,TRUE,PoW,0,42000000
APEX,ApexCoin,X13,TRUE,PoW/PoS,0,6000000
XAP,Apollon,Quark,TRUE,PoW/PoS,0,250000000
AQUA,Aquachain,Argon2,TRUE,PoW,0,42000000
ACHN,Achain,DPoS,TRUE,DPoS,,1000000000
ARCH,ArchCoin,Scrypt,TRUE,PoS,0,16403135
